"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","scale_pos_weight","Accuracy"
50,6,0.01,1,5,0.8,1,1,0.62
150,6,0.01,1,5,0.8,1,1,0.62
250,9,0.01,1,5,0.8,1,1,0.62
200,6,0.1,1,5,0.8,1,1,0.62
250,9,0.01,0,1,0.4,0.6,0.75,0.61
50,3,0.05,0,3,0.4,0.6,0.75,0.61
250,6,0.05,0,3,0.4,0.6,0.75,0.61
50,6,0.01,0,5,0.4,0.6,0.75,0.61
150,6,0.05,0,5,0.4,0.6,0.75,0.61
200,3,0.1,0,5,0.4,0.6,0.75,0.61
250,6,0.1,0,5,0.4,0.6,0.75,0.61
150,6,0.01,0,1,0.8,0.6,0.75,0.61
250,6,0.01,0,1,0.8,0.6,0.75,0.61
250,9,0.01,0,1,0.8,0.6,0.75,0.61
150,9,0.05,0,1,0.8,0.6,0.75,0.61
50,3,0.1,0,1,0.8,0.6,0.75,0.61
50,3,0.05,0,3,0.8,0.6,0.75,0.61
150,9,0.05,0,3,0.8,0.6,0.75,0.61
200,3,0.1,0,3,0.8,0.6,0.75,0.61
250,6,0.01,0,5,0.8,0.6,0.75,0.61
50,3,0.1,0,5,0.8,0.6,0.75,0.61
150,6,0.1,0,5,0.8,0.6,0.75,0.61
50,9,0.1,0,5,0.8,0.6,0.75,0.61
150,9,0.1,0,5,0.8,0.6,0.75,0.61
250,9,0.1,0,5,0.8,0.6,0.75,0.61
200,6,0.01,0,1,0.4,0.8,0.75,0.61
250,9,0.01,0,1,0.4,0.8,0.75,0.61
50,3,0.05,0,1,0.4,0.8,0.75,0.61
250,3,0.05,0,1,0.4,0.8,0.75,0.61
50,3,0.05,0,3,0.4,0.8,0.75,0.61
200,6,0.05,0,3,0.4,0.8,0.75,0.61
50,6,0.1,0,3,0.4,0.8,0.75,0.61
50,9,0.05,0,5,0.4,0.8,0.75,0.61
250,9,0.1,0,5,0.4,0.8,0.75,0.61
250,6,0.01,0,1,0.8,0.8,0.75,0.61
250,9,0.01,0,1,0.8,0.8,0.75,0.61
200,3,0.05,0,3,0.8,0.8,0.75,0.61
150,6,0.05,0,5,0.8,0.8,0.75,0.61
250,9,0.05,0,5,0.8,0.8,0.75,0.61
200,3,0.1,0,5,0.8,0.8,0.75,0.61
50,3,0.01,0,1,0.4,1,0.75,0.61
50,6,0.05,0,1,0.4,1,0.75,0.61
200,9,0.05,0,1,0.4,1,0.75,0.61
50,3,0.01,0,3,0.4,1,0.75,0.61
50,9,0.05,0,5,0.4,1,0.75,0.61
200,9,0.1,0,5,0.4,1,0.75,0.61
200,3,0.05,0,1,0.8,1,0.75,0.61
50,6,0.1,0,1,0.8,1,0.75,0.61
250,9,0.01,0,3,0.8,1,0.75,0.61
250,3,0.05,0,5,0.8,1,0.75,0.61
50,6,0.05,0,5,0.8,1,0.75,0.61
50,6,0.1,0,5,0.8,1,0.75,0.61
50,9,0.01,0.25,1,0.4,0.6,0.75,0.61
50,3,0.05,0.25,3,0.4,0.6,0.75,0.61
150,3,0.1,0.25,3,0.4,0.6,0.75,0.61
250,3,0.1,0.25,3,0.4,0.6,0.75,0.61
50,6,0.01,0.25,5,0.4,0.6,0.75,0.61
50,6,0.05,0.25,5,0.4,0.6,0.75,0.61
200,3,0.1,0.25,5,0.4,0.6,0.75,0.61
50,9,0.1,0.25,5,0.4,0.6,0.75,0.61
50,6,0.01,0.25,1,0.8,0.6,0.75,0.61
150,6,0.01,0.25,1,0.8,0.6,0.75,0.61
200,6,0.01,0.25,1,0.8,0.6,0.75,0.61
200,9,0.01,0.25,1,0.8,0.6,0.75,0.61
250,9,0.01,0.25,1,0.8,0.6,0.75,0.61
150,6,0.05,0.25,1,0.8,0.6,0.75,0.61
50,3,0.1,0.25,1,0.8,0.6,0.75,0.61
50,9,0.1,0.25,1,0.8,0.6,0.75,0.61
50,3,0.05,0.25,3,0.8,0.6,0.75,0.61
150,9,0.05,0.25,3,0.8,0.6,0.75,0.61
250,6,0.01,0.25,5,0.8,0.6,0.75,0.61
150,9,0.05,0.25,5,0.8,0.6,0.75,0.61
50,3,0.1,0.25,5,0.8,0.6,0.75,0.61
150,3,0.1,0.25,5,0.8,0.6,0.75,0.61
150,6,0.1,0.25,5,0.8,0.6,0.75,0.61
250,9,0.01,0.25,1,0.4,0.8,0.75,0.61
50,3,0.05,0.25,1,0.4,0.8,0.75,0.61
200,3,0.05,0.25,1,0.4,0.8,0.75,0.61
150,9,0.01,0.25,3,0.4,0.8,0.75,0.61
50,3,0.05,0.25,3,0.4,0.8,0.75,0.61
50,9,0.05,0.25,3,0.4,0.8,0.75,0.61
250,6,0.01,0.25,5,0.4,0.8,0.75,0.61
150,9,0.01,0.25,5,0.4,0.8,0.75,0.61
250,3,0.05,0.25,5,0.4,0.8,0.75,0.61
150,6,0.1,0.25,1,0.8,0.8,0.75,0.61
200,3,0.05,0.25,3,0.8,0.8,0.75,0.61
200,3,0.1,0.25,5,0.8,0.8,0.75,0.61
50,6,0.1,0.25,5,0.8,0.8,0.75,0.61
250,6,0.1,0.25,5,0.8,0.8,0.75,0.61
50,3,0.01,0.25,1,0.4,1,0.75,0.61
250,3,0.05,0.25,1,0.4,1,0.75,0.61
50,3,0.01,0.25,3,0.4,1,0.75,0.61
200,3,0.05,0.25,3,0.4,1,0.75,0.61
50,6,0.05,0.25,5,0.4,1,0.75,0.61
250,9,0.1,0.25,5,0.4,1,0.75,0.61
150,9,0.1,0.25,1,0.8,1,0.75,0.61
150,9,0.01,0.25,3,0.8,1,0.75,0.61
150,9,0.05,0.25,3,0.8,1,0.75,0.61
250,9,0.01,0.25,5,0.8,1,0.75,0.61
250,3,0.05,0.25,5,0.8,1,0.75,0.61
150,9,0.1,0.25,5,0.8,1,0.75,0.61
200,9,0.1,0.25,5,0.8,1,0.75,0.61
250,9,0.1,0.25,5,0.8,1,0.75,0.61
150,6,0.05,1,1,0.4,0.6,0.75,0.61
50,3,0.1,1,1,0.4,0.6,0.75,0.61
250,9,0.05,1,3,0.4,0.6,0.75,0.61
250,3,0.1,1,3,0.4,0.6,0.75,0.61
50,6,0.01,1,5,0.4,0.6,0.75,0.61
250,6,0.05,1,5,0.4,0.6,0.75,0.61
50,9,0.05,1,5,0.4,0.6,0.75,0.61
200,3,0.1,1,5,0.4,0.6,0.75,0.61
150,9,0.01,1,1,0.8,0.6,0.75,0.61
250,9,0.01,1,1,0.8,0.6,0.75,0.61
200,3,0.05,1,1,0.8,0.6,0.75,0.61
150,9,0.05,1,1,0.8,0.6,0.75,0.61
50,3,0.1,1,1,0.8,0.6,0.75,0.61
50,9,0.1,1,1,0.8,0.6,0.75,0.61
150,6,0.01,1,3,0.8,0.6,0.75,0.61
200,6,0.01,1,3,0.8,0.6,0.75,0.61
250,6,0.01,1,3,0.8,0.6,0.75,0.61
200,9,0.01,1,3,0.8,0.6,0.75,0.61
50,3,0.05,1,3,0.8,0.6,0.75,0.61
250,9,0.05,1,3,0.8,0.6,0.75,0.61
50,3,0.1,1,5,0.8,0.6,0.75,0.61
150,3,0.1,1,5,0.8,0.6,0.75,0.61
200,6,0.01,1,1,0.4,0.8,0.75,0.61
150,9,0.01,1,1,0.4,0.8,0.75,0.61
250,9,0.01,1,1,0.4,0.8,0.75,0.61
50,3,0.05,1,1,0.4,0.8,0.75,0.61
200,3,0.05,1,1,0.4,0.8,0.75,0.61
150,9,0.05,1,1,0.4,0.8,0.75,0.61
50,3,0.05,1,3,0.4,0.8,0.75,0.61
50,6,0.01,1,5,0.4,0.8,0.75,0.61
200,6,0.01,1,5,0.4,0.8,0.75,0.61
250,9,0.01,1,5,0.4,0.8,0.75,0.61
50,9,0.1,1,5,0.4,0.8,0.75,0.61
250,9,0.1,1,5,0.4,0.8,0.75,0.61
200,9,0.01,1,1,0.8,0.8,0.75,0.61
150,6,0.01,1,3,0.8,0.8,0.75,0.61
250,6,0.01,1,3,0.8,0.8,0.75,0.61
250,6,0.01,1,5,0.8,0.8,0.75,0.61
200,9,0.05,1,5,0.8,0.8,0.75,0.61
200,3,0.1,1,5,0.8,0.8,0.75,0.61
250,6,0.1,1,5,0.8,0.8,0.75,0.61
50,3,0.01,1,1,0.4,1,0.75,0.61
250,9,0.01,1,1,0.4,1,0.75,0.61
50,3,0.01,1,3,0.4,1,0.75,0.61
50,9,0.05,1,3,0.4,1,0.75,0.61
250,3,0.1,1,3,0.4,1,0.75,0.61
200,9,0.1,1,3,0.4,1,0.75,0.61
150,9,0.1,1,5,0.4,1,0.75,0.61
250,9,0.1,1,5,0.4,1,0.75,0.61
200,3,0.05,1,1,0.8,1,0.75,0.61
200,6,0.05,1,1,0.8,1,0.75,0.61
250,6,0.05,1,1,0.8,1,0.75,0.61
250,9,0.1,1,1,0.8,1,0.75,0.61
150,9,0.05,1,3,0.8,1,0.75,0.61
250,6,0.01,1,5,0.8,1,0.75,0.61
50,6,0.05,1,5,0.8,1,0.75,0.61
150,6,0.05,1,5,0.8,1,0.75,0.61
50,9,0.05,1,5,0.8,1,0.75,0.61
200,9,0.1,1,5,0.8,1,0.75,0.61
200,3,0.01,0,1,0.4,0.6,1,0.61
250,3,0.01,0,1,0.4,0.6,1,0.61
150,6,0.05,0,1,0.4,0.6,1,0.61
200,6,0.05,0,1,0.4,0.6,1,0.61
150,9,0.05,0,1,0.4,0.6,1,0.61
150,3,0.05,0,3,0.4,0.6,1,0.61
200,3,0.05,0,3,0.4,0.6,1,0.61
200,3,0.1,0,3,0.4,0.6,1,0.61
200,6,0.1,0,3,0.4,0.6,1,0.61
200,3,0.01,0,5,0.4,0.6,1,0.61
150,6,0.01,0,5,0.4,0.6,1,0.61
50,9,0.05,0,5,0.4,0.6,1,0.61
250,6,0.01,0,1,0.8,0.6,1,0.61
50,9,0.05,0,1,0.8,0.6,1,0.61
250,9,0.05,0,1,0.8,0.6,1,0.61
50,9,0.1,0,1,0.8,0.6,1,0.61
200,6,0.01,0,3,0.8,0.6,1,0.61
250,6,0.01,0,3,0.8,0.6,1,0.61
250,9,0.01,0,3,0.8,0.6,1,0.61
150,3,0.05,0,3,0.8,0.6,1,0.61
250,9,0.1,0,3,0.8,0.6,1,0.61
200,9,0.01,0,5,0.8,0.6,1,0.61
50,3,0.1,0,5,0.8,0.6,1,0.61
250,3,0.1,0,5,0.8,0.6,1,0.61
50,3,0.05,0,1,0.4,0.8,1,0.61
200,3,0.05,0,1,0.4,0.8,1,0.61
200,3,0.01,0,5,0.4,0.8,1,0.61
250,3,0.01,0,5,0.4,0.8,1,0.61
50,9,0.05,0,5,0.4,0.8,1,0.61
150,3,0.1,0,5,0.4,0.8,1,0.61
250,3,0.1,0,5,0.4,0.8,1,0.61
50,6,0.1,0,5,0.4,0.8,1,0.61
200,3,0.01,0,1,0.8,0.8,1,0.61
250,3,0.01,0,1,0.8,0.8,1,0.61
150,3,0.05,0,1,0.8,0.8,1,0.61
150,9,0.05,0,1,0.8,0.8,1,0.61
200,9,0.05,0,1,0.8,0.8,1,0.61
250,9,0.05,0,1,0.8,0.8,1,0.61
200,3,0.1,0,1,0.8,0.8,1,0.61
50,3,0.01,0,3,0.8,0.8,1,0.61
200,3,0.01,0,3,0.8,0.8,1,0.61
250,3,0.01,0,3,0.8,0.8,1,0.61
150,6,0.01,0,3,0.8,0.8,1,0.61
200,6,0.01,0,3,0.8,0.8,1,0.61
250,6,0.01,0,3,0.8,0.8,1,0.61
250,9,0.01,0,3,0.8,0.8,1,0.61
150,3,0.05,0,3,0.8,0.8,1,0.61
200,9,0.05,0,3,0.8,0.8,1,0.61
50,3,0.01,0,5,0.8,0.8,1,0.61
50,6,0.01,0,5,0.8,0.8,1,0.61
50,9,0.01,0,5,0.8,0.8,1,0.61
250,9,0.05,0,5,0.8,0.8,1,0.61
250,3,0.1,0,5,0.8,0.8,1,0.61
50,6,0.01,0,1,0.4,1,1,0.61
250,9,0.05,0,1,0.4,1,1,0.61
200,9,0.01,0,3,0.4,1,1,0.61
50,6,0.05,0,3,0.4,1,1,0.61
50,9,0.05,0,3,0.4,1,1,0.61
50,9,0.01,0,5,0.4,1,1,0.61
200,6,0.05,0,5,0.4,1,1,0.61
250,3,0.1,0,5,0.4,1,1,0.61
200,6,0.01,0,1,0.8,1,1,0.61
50,6,0.01,0,3,0.8,1,1,0.61
50,6,0.05,0,3,0.8,1,1,0.61
150,6,0.1,0,3,0.8,1,1,0.61
200,6,0.1,0,3,0.8,1,1,0.61
150,6,0.01,0,5,0.8,1,1,0.61
150,9,0.05,0,5,0.8,1,1,0.61
200,3,0.01,0.25,1,0.4,0.6,1,0.61
50,6,0.1,0.25,1,0.4,0.6,1,0.61
150,3,0.05,0.25,3,0.4,0.6,1,0.61
200,3,0.05,0.25,3,0.4,0.6,1,0.61
150,3,0.1,0.25,3,0.4,0.6,1,0.61
200,3,0.01,0.25,5,0.4,0.6,1,0.61
150,6,0.01,0.25,5,0.4,0.6,1,0.61
250,9,0.01,0.25,5,0.4,0.6,1,0.61
200,6,0.05,0.25,5,0.4,0.6,1,0.61
150,6,0.1,0.25,5,0.4,0.6,1,0.61
200,6,0.05,0.25,1,0.8,0.6,1,0.61
250,6,0.05,0.25,1,0.8,0.6,1,0.61
150,9,0.05,0.25,1,0.8,0.6,1,0.61
50,9,0.01,0.25,3,0.8,0.6,1,0.61
200,3,0.05,0.25,3,0.8,0.6,1,0.61
250,6,0.05,0.25,3,0.8,0.6,1,0.61
150,9,0.05,0.25,3,0.8,0.6,1,0.61
150,6,0.01,0.25,5,0.8,0.6,1,0.61
250,6,0.01,0.25,5,0.8,0.6,1,0.61
200,9,0.01,0.25,5,0.8,0.6,1,0.61
50,3,0.1,0.25,5,0.8,0.6,1,0.61
250,3,0.1,0.25,5,0.8,0.6,1,0.61
200,6,0.1,0.25,5,0.8,0.6,1,0.61
250,9,0.1,0.25,5,0.8,0.6,1,0.61
50,3,0.05,0.25,1,0.4,0.8,1,0.61
50,9,0.1,0.25,1,0.4,0.8,1,0.61
150,9,0.1,0.25,1,0.4,0.8,1,0.61
250,3,0.05,0.25,3,0.4,0.8,1,0.61
200,6,0.05,0.25,3,0.4,0.8,1,0.61
150,6,0.1,0.25,3,0.4,0.8,1,0.61
50,9,0.1,0.25,3,0.4,0.8,1,0.61
150,9,0.1,0.25,3,0.4,0.8,1,0.61
200,3,0.01,0.25,5,0.4,0.8,1,0.61
250,3,0.01,0.25,5,0.4,0.8,1,0.61
50,9,0.01,0.25,5,0.4,0.8,1,0.61
150,9,0.05,0.25,5,0.4,0.8,1,0.61
150,3,0.1,0.25,5,0.4,0.8,1,0.61
250,3,0.1,0.25,5,0.4,0.8,1,0.61
200,3,0.01,0.25,1,0.8,0.8,1,0.61
250,3,0.01,0.25,1,0.8,0.8,1,0.61
250,6,0.01,0.25,1,0.8,0.8,1,0.61
150,3,0.05,0.25,1,0.8,0.8,1,0.61
150,3,0.1,0.25,1,0.8,0.8,1,0.61
50,3,0.01,0.25,3,0.8,0.8,1,0.61
200,3,0.01,0.25,3,0.8,0.8,1,0.61
250,3,0.01,0.25,3,0.8,0.8,1,0.61
150,6,0.01,0.25,3,0.8,0.8,1,0.61
200,6,0.01,0.25,3,0.8,0.8,1,0.61
50,3,0.01,0.25,5,0.8,0.8,1,0.61
50,6,0.01,0.25,5,0.8,0.8,1,0.61
200,6,0.01,0.25,5,0.8,0.8,1,0.61
250,6,0.01,0.25,5,0.8,0.8,1,0.61
200,9,0.05,0.25,5,0.8,0.8,1,0.61
200,9,0.1,0.25,5,0.8,0.8,1,0.61
250,9,0.05,0.25,1,0.4,1,1,0.61
250,3,0.1,0.25,1,0.4,1,1,0.61
50,9,0.01,0.25,5,0.4,1,1,0.61
150,6,0.01,0.25,1,0.8,1,1,0.61
200,9,0.01,0.25,1,0.8,1,1,0.61
150,3,0.1,0.25,1,0.8,1,1,0.61
250,6,0.1,0.25,1,0.8,1,1,0.61
200,9,0.1,0.25,1,0.8,1,1,0.61
50,6,0.01,0.25,3,0.8,1,1,0.61
250,3,0.05,0.25,3,0.8,1,1,0.61
200,6,0.05,0.25,3,0.8,1,1,0.61
250,9,0.01,0.25,5,0.8,1,1,0.61
150,6,0.05,0.25,5,0.8,1,1,0.61
250,6,0.05,0.25,5,0.8,1,1,0.61
50,9,0.05,0.25,5,0.8,1,1,0.61
250,9,0.05,0.25,5,0.8,1,1,0.61
50,6,0.1,0.25,5,0.8,1,1,0.61
200,3,0.01,1,1,0.4,0.6,1,0.61
250,3,0.01,1,1,0.4,0.6,1,0.61
50,6,0.05,1,1,0.4,0.6,1,0.61
150,6,0.05,1,1,0.4,0.6,1,0.61
250,3,0.1,1,1,0.4,0.6,1,0.61
200,3,0.01,1,3,0.4,0.6,1,0.61
200,3,0.05,1,3,0.4,0.6,1,0.61
200,3,0.01,1,5,0.4,0.6,1,0.61
250,9,0.01,1,5,0.4,0.6,1,0.61
50,6,0.05,1,5,0.4,0.6,1,0.61
150,3,0.01,1,1,0.8,0.6,1,0.61
150,6,0.01,1,1,0.8,0.6,1,0.61
200,3,0.1,1,1,0.8,0.6,1,0.61
250,6,0.01,1,3,0.8,0.6,1,0.61
50,9,0.01,1,3,0.8,0.6,1,0.61
150,9,0.01,1,3,0.8,0.6,1,0.61
200,9,0.01,1,3,0.8,0.6,1,0.61
150,6,0.05,1,3,0.8,0.6,1,0.61
200,6,0.01,1,5,0.8,0.6,1,0.61
200,9,0.01,1,5,0.8,0.6,1,0.61
150,3,0.05,1,5,0.8,0.6,1,0.61
50,9,0.05,1,5,0.8,0.6,1,0.61
50,3,0.1,1,5,0.8,0.6,1,0.61
50,9,0.01,1,1,0.4,0.8,1,0.61
50,3,0.05,1,1,0.4,0.8,1,0.61
150,3,0.05,1,1,0.4,0.8,1,0.61
150,3,0.1,1,1,0.4,0.8,1,0.61
250,9,0.1,1,1,0.4,0.8,1,0.61
200,3,0.01,1,5,0.4,0.8,1,0.61
200,3,0.05,1,5,0.4,0.8,1,0.61
200,3,0.01,1,1,0.8,0.8,1,0.61
250,3,0.01,1,1,0.8,0.8,1,0.61
50,6,0.01,1,1,0.8,0.8,1,0.61
150,6,0.01,1,1,0.8,0.8,1,0.61
150,3,0.05,1,1,0.8,0.8,1,0.61
50,6,0.05,1,1,0.8,0.8,1,0.61
250,9,0.05,1,1,0.8,0.8,1,0.61
50,3,0.01,1,3,0.8,0.8,1,0.61
200,3,0.01,1,3,0.8,0.8,1,0.61
250,3,0.01,1,3,0.8,0.8,1,0.61
150,6,0.01,1,3,0.8,0.8,1,0.61
200,6,0.01,1,3,0.8,0.8,1,0.61
200,3,0.05,1,3,0.8,0.8,1,0.61
50,9,0.05,1,3,0.8,0.8,1,0.61
150,3,0.1,1,3,0.8,0.8,1,0.61
50,3,0.01,1,5,0.8,0.8,1,0.61
50,6,0.01,1,5,0.8,0.8,1,0.61
250,6,0.01,1,5,0.8,0.8,1,0.61
50,9,0.05,1,5,0.8,0.8,1,0.61
200,9,0.05,1,5,0.8,0.8,1,0.61
200,3,0.1,1,5,0.8,0.8,1,0.61
250,3,0.1,1,5,0.8,0.8,1,0.61
50,6,0.05,1,1,0.4,1,1,0.61
200,6,0.05,1,1,0.4,1,1,0.61
250,9,0.01,1,5,0.4,1,1,0.61
150,9,0.1,1,1,0.8,1,1,0.61
200,9,0.1,1,1,0.8,1,1,0.61
200,3,0.05,1,3,0.8,1,1,0.61
200,6,0.1,1,3,0.8,1,1,0.61
250,6,0.01,1,5,0.8,1,1,0.61
200,9,0.01,1,5,0.8,1,1,0.61
150,3,0.05,1,5,0.8,1,1,0.61
150,6,0.1,1,5,0.8,1,1,0.61
200,9,0.1,1,5,0.8,1,1,0.61
200,6,0.01,0,1,0.4,0.6,0.75,0.6
50,9,0.01,0,1,0.4,0.6,0.75,0.6
50,3,0.1,0,1,0.4,0.6,0.75,0.6
150,3,0.1,0,1,0.4,0.6,0.75,0.6
250,3,0.1,0,1,0.4,0.6,0.75,0.6
50,6,0.1,0,1,0.4,0.6,0.75,0.6
50,6,0.01,0,3,0.4,0.6,0.75,0.6
200,6,0.01,0,3,0.4,0.6,0.75,0.6
150,3,0.05,0,3,0.4,0.6,0.75,0.6
50,3,0.1,0,3,0.4,0.6,0.75,0.6
50,6,0.1,0,3,0.4,0.6,0.75,0.6
250,6,0.1,0,3,0.4,0.6,0.75,0.6
250,9,0.01,0,5,0.4,0.6,0.75,0.6
50,3,0.05,0,5,0.4,0.6,0.75,0.6
250,6,0.05,0,5,0.4,0.6,0.75,0.6
50,6,0.1,0,5,0.4,0.6,0.75,0.6
150,6,0.1,0,5,0.4,0.6,0.75,0.6
50,6,0.01,0,1,0.8,0.6,0.75,0.6
200,9,0.01,0,1,0.8,0.6,0.75,0.6
50,3,0.05,0,1,0.8,0.6,0.75,0.6
150,9,0.1,0,1,0.8,0.6,0.75,0.6
200,6,0.01,0,3,0.8,0.6,0.75,0.6
150,9,0.01,0,3,0.8,0.6,0.75,0.6
200,9,0.05,0,3,0.8,0.6,0.75,0.6
250,9,0.05,0,3,0.8,0.6,0.75,0.6
150,3,0.1,0,3,0.8,0.6,0.75,0.6
200,6,0.1,0,3,0.8,0.6,0.75,0.6
200,6,0.01,0,5,0.8,0.6,0.75,0.6
50,3,0.05,0,5,0.8,0.6,0.75,0.6
200,3,0.05,0,5,0.8,0.6,0.75,0.6
50,6,0.05,0,5,0.8,0.6,0.75,0.6
50,9,0.05,0,5,0.8,0.6,0.75,0.6
250,3,0.1,0,5,0.8,0.6,0.75,0.6
50,6,0.1,0,5,0.8,0.6,0.75,0.6
200,6,0.1,0,5,0.8,0.6,0.75,0.6
150,6,0.01,0,1,0.4,0.8,0.75,0.6
150,9,0.01,0,1,0.4,0.8,0.75,0.6
200,9,0.01,0,1,0.4,0.8,0.75,0.6
150,6,0.05,0,1,0.4,0.8,0.75,0.6
150,9,0.05,0,1,0.4,0.8,0.75,0.6
50,6,0.01,0,3,0.4,0.8,0.75,0.6
150,6,0.01,0,3,0.4,0.8,0.75,0.6
200,6,0.01,0,3,0.4,0.8,0.75,0.6
250,6,0.01,0,3,0.4,0.8,0.75,0.6
200,3,0.05,0,3,0.4,0.8,0.75,0.6
200,6,0.1,0,3,0.4,0.8,0.75,0.6
150,3,0.01,0,5,0.4,0.8,0.75,0.6
50,6,0.01,0,5,0.4,0.8,0.75,0.6
200,6,0.01,0,5,0.4,0.8,0.75,0.6
150,6,0.05,0,5,0.4,0.8,0.75,0.6
50,3,0.1,0,5,0.4,0.8,0.75,0.6
50,6,0.01,0,1,0.8,0.8,0.75,0.6
150,6,0.01,0,1,0.8,0.8,0.75,0.6
50,6,0.05,0,1,0.8,0.8,0.75,0.6
250,6,0.05,0,1,0.8,0.8,0.75,0.6
150,3,0.1,0,1,0.8,0.8,0.75,0.6
250,3,0.1,0,1,0.8,0.8,0.75,0.6
250,3,0.05,0,3,0.8,0.8,0.75,0.6
50,6,0.1,0,3,0.8,0.8,0.75,0.6
150,9,0.05,0,5,0.8,0.8,0.75,0.6
200,9,0.05,0,5,0.8,0.8,0.75,0.6
50,6,0.1,0,5,0.8,0.8,0.75,0.6
150,6,0.1,0,5,0.8,0.8,0.75,0.6
150,6,0.05,0,1,0.4,1,0.75,0.6
250,9,0.05,0,1,0.4,1,0.75,0.6
250,3,0.05,0,5,0.4,1,0.75,0.6
150,6,0.05,0,5,0.4,1,0.75,0.6
150,9,0.01,0,1,0.8,1,0.75,0.6
200,9,0.01,0,1,0.8,1,0.75,0.6
200,6,0.1,0,1,0.8,1,0.75,0.6
250,6,0.1,0,1,0.8,1,0.75,0.6
150,6,0.05,0,3,0.8,1,0.75,0.6
50,9,0.05,0,3,0.8,1,0.75,0.6
50,3,0.1,0,3,0.8,1,0.75,0.6
200,6,0.01,0,5,0.8,1,0.75,0.6
200,9,0.01,0,5,0.8,1,0.75,0.6
150,9,0.01,0.25,1,0.4,0.6,0.75,0.6
200,9,0.01,0.25,1,0.4,0.6,0.75,0.6
50,3,0.1,0.25,1,0.4,0.6,0.75,0.6
200,6,0.1,0.25,1,0.4,0.6,0.75,0.6
150,3,0.05,0.25,3,0.4,0.6,0.75,0.6
200,6,0.05,0.25,3,0.4,0.6,0.75,0.6
250,9,0.05,0.25,3,0.4,0.6,0.75,0.6
50,3,0.1,0.25,3,0.4,0.6,0.75,0.6
50,3,0.05,0.25,5,0.4,0.6,0.75,0.6
50,3,0.05,0.25,1,0.8,0.6,0.75,0.6
150,9,0.1,0.25,1,0.8,0.6,0.75,0.6
150,9,0.01,0.25,3,0.8,0.6,0.75,0.6
50,9,0.05,0.25,3,0.8,0.6,0.75,0.6
150,3,0.1,0.25,3,0.8,0.6,0.75,0.6
150,6,0.01,0.25,5,0.8,0.6,0.75,0.6
200,9,0.01,0.25,5,0.8,0.6,0.75,0.6
250,9,0.01,0.25,5,0.8,0.6,0.75,0.6
50,3,0.05,0.25,5,0.8,0.6,0.75,0.6
200,3,0.05,0.25,5,0.8,0.6,0.75,0.6
50,6,0.05,0.25,5,0.8,0.6,0.75,0.6
150,6,0.05,0.25,5,0.8,0.6,0.75,0.6
250,9,0.05,0.25,5,0.8,0.6,0.75,0.6
250,6,0.01,0.25,1,0.4,0.8,0.75,0.6
150,9,0.01,0.25,1,0.4,0.8,0.75,0.6
250,3,0.05,0.25,1,0.4,0.8,0.75,0.6
200,6,0.05,0.25,1,0.4,0.8,0.75,0.6
150,9,0.05,0.25,1,0.4,0.8,0.75,0.6
150,6,0.1,0.25,1,0.4,0.8,0.75,0.6
50,6,0.01,0.25,3,0.4,0.8,0.75,0.6
200,6,0.01,0.25,3,0.4,0.8,0.75,0.6
250,6,0.01,0.25,3,0.4,0.8,0.75,0.6
200,9,0.01,0.25,3,0.4,0.8,0.75,0.6
150,3,0.05,0.25,3,0.4,0.8,0.75,0.6
200,3,0.05,0.25,3,0.4,0.8,0.75,0.6
50,6,0.05,0.25,3,0.4,0.8,0.75,0.6
250,6,0.05,0.25,3,0.4,0.8,0.75,0.6
200,9,0.05,0.25,3,0.4,0.8,0.75,0.6
150,3,0.01,0.25,5,0.4,0.8,0.75,0.6
50,6,0.01,0.25,5,0.4,0.8,0.75,0.6
200,6,0.01,0.25,5,0.4,0.8,0.75,0.6
50,3,0.1,0.25,5,0.4,0.8,0.75,0.6
250,9,0.1,0.25,5,0.4,0.8,0.75,0.6
50,6,0.01,0.25,1,0.8,0.8,0.75,0.6
150,6,0.01,0.25,1,0.8,0.8,0.75,0.6
50,6,0.05,0.25,1,0.8,0.8,0.75,0.6
150,3,0.1,0.25,1,0.8,0.8,0.75,0.6
250,3,0.05,0.25,3,0.8,0.8,0.75,0.6
200,6,0.1,0.25,3,0.8,0.8,0.75,0.6
250,9,0.01,0.25,5,0.8,0.8,0.75,0.6
50,6,0.05,0.25,5,0.8,0.8,0.75,0.6
200,6,0.05,0.25,5,0.8,0.8,0.75,0.6
250,9,0.05,0.25,5,0.8,0.8,0.75,0.6
200,6,0.1,0.25,5,0.8,0.8,0.75,0.6
250,9,0.1,0.25,5,0.8,0.8,0.75,0.6
250,9,0.01,0.25,3,0.4,1,0.75,0.6
150,6,0.05,0.25,3,0.4,1,0.75,0.6
250,3,0.05,0.25,5,0.4,1,0.75,0.6
250,6,0.05,0.25,5,0.4,1,0.75,0.6
250,6,0.01,0.25,1,0.8,1,0.75,0.6
150,9,0.01,0.25,1,0.8,1,0.75,0.6
200,9,0.01,0.25,1,0.8,1,0.75,0.6
250,9,0.01,0.25,1,0.8,1,0.75,0.6
200,3,0.05,0.25,1,0.8,1,0.75,0.6
250,3,0.05,0.25,1,0.8,1,0.75,0.6
200,6,0.05,0.25,1,0.8,1,0.75,0.6
150,9,0.05,0.25,1,0.8,1,0.75,0.6
